128, 8, 1.873e+00,  32, 32, 8.955e+00,  64, 3.875e+02, 
512, 8, 2.434e+00,  32, 1.281e+01, 64, 4.123e+02, 
1024, 8, 3.440e+00,  32, 3.793e+01, 64, 4.665e+02

